,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
294,20201122T00:00:00Z,30733,505,26466,2908890,54029,2824128,330,2,101,2684
295,20201123T00:00:00Z,31004,509,26539,2922135,56455,2834676,271,4,73,2426
296,20201124T00:00:00Z,31353,510,26722,2946399,57769,2857277,349,1,183,1314
297,20201125T00:00:00Z,31735,513,26825,2966405,55838,2878832,382,3,103,-1931
298,20201126T00:00:00Z,32318,515,26950,2988046,55361,2900367,583,2,125,-477
299,20201127T00:00:00Z,32887,516,27103,3009577,56637,2920053,569,1,153,1276
300,20201128T00:00:00Z,33375,522,27349,3032004,58794,2939835,488,6,246,2157
301,20201129T00:00:00Z,33824,523,27542,3046971,62829,2950318,449,1,193,4035
302,20201130T00:00:00Z,34201,526,27653,3061172,63365,2963606,377,3,111,536
303,20201201T00:00:00Z,34652,526,27885,3083997,64892,2984453,451,0,232,1527
304,20201202T00:00:00Z,35163,526,28065,3106970,65154,3006653,511,0,180,262
305,20201203T00:00:00Z,35703,529,28352,3131886,65788,3030395,540,3,287,634
306,20201204T00:00:00Z,36332,536,28611,3157410,64017,3057061,629,7,259,-1771
307,20201205T00:00:00Z,36915,540,28917,3180496,66267,3077314,583,4,306,2250
308,20201206T00:00:00Z,37546,545,29128,3194867,67716,3089605,631,5,211,1449
309,20201207T00:00:00Z,38161,549,29301,3209376,68010,3103205,615,4,173,294
310,20201209T00:00:00Z,39432,556,30177,3253236,75080,3138724,1271,7,876,7070
311,20201208T00:00:00Z,38746,552,29650,3221317,71274,3111297,-686,-4,-527,-3806
312,20201210T00:00:00Z,40098,564,30637,3277947,72764,3165085,1352,12,987,1490
313,20201211T00:00:00Z,40786,572,31157,3311213,77688,3192739,688,8,520,4924
314,20201212T00:00:00Z,41736,578,31493,3349864,86742,3221386,950,6,336,9054
315,20201213T00:00:00Z,42766,580,31814,3374595,90129,3241700,1030,2,321,3387
316,20201214T00:00:00Z,43484,587,32102,3397039,89247,3264308,718,7,288,-882
317,20201215T00:00:00Z,44364,600,32559,3441220,93473,3303383,880,13,457,4226
318,20201216T00:00:00Z,45442,612,32947,3488769,94784,3348543,1078,12,388,1311
319,20201217T00:00:00Z,46453,634,33610,3538840,99258,3393129,1011,22,663,4474
320,20201218T00:00:00Z,47515,645,33982,3589795,110618,3431662,1062,11,372,11360
321,20201219T00:00:00Z,48570,659,34334,3646247,126233,3471444,1055,14,352,15615
322,20201220T00:00:00Z,49661,674,34722,3683090,139475,3493954,1098,15,388,13242
323,20201221T00:00:00Z,50586,698,35155,3713857,146438,3516833,925,24,433,6963
324,20201222T00:00:00Z,51454,722,35928,3772426,151129,3569843,868,24,773,4691
325,20201223T00:00:00Z,52544,739,36726,3826566,153109,3620913,1090,17,798,1980
326,20201224T00:00:00Z,53529,756,37425,3882206,150533,3678144,985,17,699,-2576
327,20201225T00:00:00Z,54769,773,38048,3939356,156789,3727798,1240,17,623,6256
328,20201226T00:00:00Z,55901,793,38532,3969414,157012,3756501,1132,20,484,223
329,20201227T00:00:00Z,56871,808,39040,4006411,166976,3782564,970,15,508,9964
330,20201228T00:00:00Z,57678,819,39268,4038306,169878,3810750,807,11,228,2902
331,20201229T00:00:00Z,58722,859,40703,4098178,170962,3868494,1044,40,1435,1084
