time,City,Confirmed,Death,Recovered,Incidence
363,20200323T00:00:00Z,전남,6,0,3,0.32
364,20200323T00:00:00Z,경북,1256,24,469,47.17
365,20200323T00:00:00Z,경남,89,0,45,2.65
366,20200323T00:00:00Z,제주,4,0,3,0.60
367,20200323T00:00:00Z,검역,47,0,0,-
368,20200324T00:00:00Z,합계,9037,120,3507,17.43
369,20200324T00:00:00Z,서울,334,0,72,3.43
370,20200324T00:00:00Z,부산,111,1,71,3.25
371,20200324T00:00:00Z,대구,6442,88,2571,264.4
372,20200324T00:00:00Z,인천,41,0,8,1.39
373,20200324T00:00:00Z,광주,19,0,11,1.30
374,20200324T00:00:00Z,대전,24,0,6,1.63
375,20200324T00:00:00Z,울산,36,0,18,3.14
376,20200324T00:00:00Z,세종,42,0,3,12.27
377,20200324T00:00:00Z,경기,366,4,97,2.76
378,20200324T00:00:00Z,강원,30,1,14,1.95
379,20200324T00:00:00Z,충북,38,0,11,2.38
380,20200324T00:00:00Z,충남,120,0,56,5.65
381,20200324T00:00:00Z,전북,10,0,7,0.55
382,20200324T00:00:00Z,전남,6,0,3,0.32
383,20200324T00:00:00Z,경북,1257,26,507,47.21
384,20200324T00:00:00Z,경남,90,0,48,2.68
385,20200324T00:00:00Z,제주,4,0,4,0.60
386,20200324T00:00:00Z,검역,67,0,0,-
387,20200325T00:00:00Z,합계,9137,126,3730,17.62
388,20200325T00:00:00Z,서울,347,0,72,3.43
389,20200325T00:00:00Z,부산,112,1,73,3.25
390,20200325T00:00:00Z,대구,6456,92,2740,264.4
391,20200325T00:00:00Z,인천,42,0,10,1.39
392,20200325T00:00:00Z,광주,19,0,11,1.30
393,20200325T00:00:00Z,대전,24,0,6,1.63
394,20200325T00:00:00Z,울산,37,0,19,3.14
395,20200325T00:00:00Z,세종,44,0,3,12.27
396,20200325T00:00:00Z,경기,387,4,100,2.76
397,20200325T00:00:00Z,강원,31,1,15,1.95
398,20200325T00:00:00Z,충북,38,0,13,2.38
399,20200325T00:00:00Z,충남,123,0,65,5.65
400,20200325T00:00:00Z,전북,10,0,7,0.55
401,20200325T00:00:00Z,전남,8,0,3,0.32
402,20200325T00:00:00Z,경북,1262,28,538,47.21
403,20200325T00:00:00Z,경남,90,0,51,2.68
404,20200325T00:00:00Z,제주,6,0,4,0.60
405,20200325T00:00:00Z,검역,101,0,0,-
406,20200326T00:00:00Z,합계,9241,131,4144,17.82
407,20200326T00:00:00Z,서울,360,0,80,3.7
408,20200326T00:00:00Z,부산,112,2,75,3.28
409,20200326T00:00:00Z,대구,6482,94,3039,266.04
410,20200326T00:00:00Z,인천,43,0,11,1.45
411,20200326T00:00:00Z,광주,19,0,11,1.30
412,20200326T00:00:00Z,대전,30,0,6,2.04
413,20200326T00:00:00Z,울산,37,0,20,3.23
414,20200326T00:00:00Z,세종,44,0,8,12.85
415,20200326T00:00:00Z,경기,401,4,122,3.03
416,20200326T00:00:00Z,강원,31,1,18,2.01
417,20200326T00:00:00Z,충북,39,0,14,2.44
418,20200326T00:00:00Z,충남,124,0,68,5.84
419,20200326T00:00:00Z,전북,10,0,7,0.55
420,20200326T00:00:00Z,전남,8,0,3,0.43
421,20200326T00:00:00Z,경북,1274,30,601,47.85
422,20200326T00:00:00Z,경남,90,0,57,2.68
423,20200326T00:00:00Z,제주,6,0,4,0.89
424,20200326T00:00:00Z,검역,131,0,0,-
425,20200327T00:00:00Z,합계,9332,139,4528,18.00
426,20200327T00:00:00Z,서울,372,0,89,3.82
427,20200327T00:00:00Z,부산,113,2,81,3.31
428,20200327T00:00:00Z,대구,6516,98,3324,267.43
429,20200327T00:00:00Z,인천,46,0,13,1.56
430,20200327T00:00:00Z,광주,20,0,11,1.37
431,20200327T00:00:00Z,대전,31,0,9,2.10
432,20200327T00:00:00Z,울산,39,0,20,3.40
433,20200327T00:00:00Z,세종,44,0,9,12.85
434,20200327T00:00:00Z,경기,412,4,131,3.11
435,20200327T00:00:00Z,강원,31,1,20,2.01
436,20200327T00:00:00Z,충북,41,0,17,2.56
437,20200327T00:00:00Z,충남,124,0,78,5.84
438,20200327T00:00:00Z,전북,10,0,7,0.55
439,20200327T00:00:00Z,전남,8,0,3,0.43
440,20200327T00:00:00Z,경북,1283,34,650,48.19
441,20200327T00:00:00Z,경남,91,0,62,2.71
442,20200327T00:00:00Z,제주,7,0,4,1.04
